Date,SP500,USDRMB,SHINDEX,SZINDEX,USDINDEX,EURUSD
2000-01-03,"1,455.22 ",8.2795 ,,,114.4743 ,1.0273 
2000-01-04,"1,399.42 ",8.2798 ,"1,406.37 ","3,497.06 ",114.3583 ,1.0295 
2000-01-05,"1,402.11 ",8.2799 ,"1,409.68 ","3,486.29 ",114.6221 ,1.0316 
2000-01-06,"1,403.45 ",8.2798 ,"1,463.94 ","3,655.20 ",115.1688 ,1.0295 
2000-01-07,"1,441.47 ",8.2797 ,"1,516.60 ","3,828.04 ",114.9098 ,1.0280 
2000-01-10,"1,457.60 ",8.2794 ,"1,545.11 ","3,921.48 ",114.9799 ,1.0253 
2000-01-11,"1,438.56 ",8.2794 ,"1,479.78 ","3,716.78 ",115.0791 ,1.0324 
2000-01-12,"1,432.25 ",8.2795 ,"1,438.02 ","3,605.83 ",115.1348 ,1.0312 
2000-01-13,"1,449.68 ",8.2796 ,"1,424.44 ","3,580.98 ",115.0326 ,1.0253 
2000-01-14,"1,465.15 ",8.2798 ,"1,408.85 ","3,542.82 ",115.2448 ,1.0151 
2000-01-17,,8.2797 ,"1,433.33 ","3,594.65 ",,1.0121 
2000-01-18,"1,455.14 ",8.2793 ,"1,426.62 ","3,571.97 ",115.1943 ,1.0120 
2000-01-19,"1,455.90 ",8.2793 ,"1,440.72 ","3,603.86 ",115.2346 ,1.0120 
2000-01-20,"1,445.57 ",8.2797 ,"1,466.86 ","3,668.84 ",115.0150 ,1.0164 
2000-01-21,"1,441.36 ",8.2794 ,"1,465.09 ","3,702.09 ",115.0325 ,1.0097 
2000-01-24,"1,401.53 ",8.2795 ,"1,477.34 ","3,734.73 ",115.2833 ,1.0039 
2000-01-25,"1,410.03 ",8.2789 ,"1,476.51 ","3,726.06 ",115.3780 ,1.0013 
2000-01-26,"1,404.09 ",8.2786 ,"1,481.12 ","3,737.99 ",115.5055 ,1.0012 
2000-01-27,"1,398.56 ",8.2782 ,"1,506.77 ","3,844.97 ",115.5995 ,0.9881 
2000-01-28,"1,360.16 ",8.2783 ,"1,535.00 ","3,952.41 ",116.6279 ,0.9771 
2000-01-31,"1,394.46 ",8.2781 ,,,116.7774 ,0.9692 
